id_pilar,coord_x,coord_y,coord_z,pillar_area,geom_sing,geol_units_count,soft_veins_freq,traction_resist,strain_modulus,main_faults_count,xy_shear_strain,xz_shear_strain,yz_shear_strain,z_axis_pm_stress,z_axis_tz_stress,tz_exposure,seismic_density,extraction_rate,avg_drawpoint_height,collapse_flag
22,97.73381080877027,1091.5355259381142,1263,286.5643,0,2,0.921,0.266,16.058,1,9.919466338224681e-05,4.7484951108972824e-05,9.831086802982921e-05,11.554908,44.95959548974328,24.0,111.26233757883577,124.543,267,0
23,111.59144179196898,1123.2858468735549,1263,286.5643,0,3,2.7009999999999996,0.19498,13.551200000000001,1,0.00013028424345114346,1.5812593364518365e-05,7.167349236313236e-05,9.403782,37.90882931953866,1.0,114.90098699075075,122.68,266,0
24,125.44907277516762,1155.0361678089957,1263,286.5643,0,3,3.07,0.184,13.13,1,0.00011352175752459417,4.8114047222085577e-05,5.6587705540457436e-05,9.523461,38.77529008929222,1.3333333333333333,124.47688209735618,119.586,265,1
25,139.30670375836627,1186.7864887444364,1263,286.5643,0,2,1.5099999999999998,0.25225,15.3855,1,0.0001450286967901234,8.586867439814812e-05,6.36308548611111e-05,9.979248,39.99868181798298,2.6666666666666665,132.9732729237528,118.674,264,1
26,153.16433474156486,1218.536809679877,1263,286.5643,0,2,0.67,0.289,16.6,1,0.00010864659868852462,6.631727825136614e-05,3.85206443169399e-05,8.252153,33.1543132732185,2.6666666666666665,116.91042321199329,123.126,263,1
27,167.0219657247635,1250.2871306153177,1263,286.5643,0,2,2.7099999999999995,0.19974999999999998,13.650500000000001,0,9.252500977272728e-05,8.155661e-05,4.2724047244318185e-05,8.837578,35.60875070863813,2.6666666666666665,98.3388740976372,123.928,262,0
28,180.87959670796215,1282.0374515507585,1263,286.5643,0,1,3.07,0.184,13.13,0,4.848420373493976e-05,8.272170313253011e-05,2.398043391566265e-05,9.105809,36.7708456255397,2.3333333333333335,91.68509327102682,124.386,263,0
29,194.7372276911608,1313.7877724861992,1263,286.5643,0,1,3.07,0.184,13.13,0,4.903424367469879e-06,0.0001233714269879518,1.4684716490963855e-05,9.969678,38.646381308839985,2.0,494.78162728356597,125.036,265,0
30,208.59485867435944,1345.5380934216398,1263,286.5643,0,1,3.07,0.184,13.13,0,5.3738773132530116e-05,0.00017730058626506023,0.00011686650457831324,12.517671,49.930842943388086,2.0,69.22437945954398,121.94,267,0
31,222.45248965755803,1377.2884143570805,1263,286.5643,0,1,3.07,0.184,13.13,0,4.265629313253012e-05,0.000246332478313253,0.00023101529012048192,18.479414,72.94544028497742,26.0,56.137611001938566,122.695,267,0
32,236.31012064075668,1409.038735292521,1263,286.5643,0,1,3.07,0.184,13.13,0,5.1482103855421685e-05,0.00023585989542168674,0.0002730821836144578,25.763218,102.70111587845857,25.666666666666668,49.416865554456564,125.252,266,0
33,106.64553831403663,1079.4550907604446,1263,286.5643,0,1,0.9383999999999999,0.25867999999999997,15.840799999999998,1,0.00010577905638554215,4.622291168674699e-05,8.960811807228914e-05,11.68634,45.16527098091762,23.666666666666668,88.03793386891526,126.001,269,0
34,120.50311929723529,1111.205325093345,1263,286.5643,0,3,2.1211,0.21705,14.3398,1,0.0001382477601206434,7.936161699899464e-06,6.217031126005362e-05,9.297076,37.313340279004954,1.3333333333333333,105.5666204174244,124.466,268,0
35,134.360700280434,1142.9555594262454,1263,286.5643,0,2,3.07,0.184,13.13,1,0.0001653373315082383,4.837833307984791e-05,6.730982347275032e-05,9.167233,36.91100732730838,1.3333333333333333,113.78096736068636,122.056,267,1
36,148.21828126363278,1174.7057937591458,1263,286.5643,0,2,1.462,0.25435,15.454900000000002,1,0.00015214340835365854,7.095511015243901e-05,5.8548667845528455e-05,9.612813,39.184899445605275,2.3333333333333335,120.07904730386124,117.579,266,1
